127.0.0.1, 2017-03-30 16:38:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.270879
127.0.0.1, 2017-03-30 16:38:17, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.035134
127.0.0.1, 2017-03-30 16:38:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.009869
127.0.0.1, 2017-03-30 16:38:20, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.031648
127.0.0.1, 2017-03-30 16:38:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.140930
127.0.0.1, 2017-03-30 16:38:52, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 1.139384
127.0.0.1, 2017-03-30 16:39:13, POST, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.042126
127.0.0.1, 2017-03-30 16:39:16, GET, /admin/default/edit/earnings_reports/models/menu.py, HTTP/1.1, 200, 0.049305
127.0.0.1, 2017-03-30 16:39:25, GET, /admin/default/edit/earnings_reports/models/companies.py, HTTP/1.1, 200, 0.049750
127.0.0.1, 2017-03-30 16:39:31, GET, /admin/default/edit/earnings_reports/models/db.py, HTTP/1.1, 200, 0.053038
127.0.0.1, 2017-03-30 16:39:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.823310
127.0.0.1, 2017-03-30 16:39:54, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 1.222794
127.0.0.1, 2017-03-30 16:39:55, GET, /companies/appadmin, HTTP/1.1, 404, 0.000829
127.0.0.1, 2017-03-30 16:39:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000608
127.0.0.1, 2017-03-30 16:40:10, GET, /company/appadmin, HTTP/1.1, 404, 0.001425
127.0.0.1, 2017-03-30 16:40:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001044
127.0.0.1, 2017-03-30 16:40:15, GET, /companies/appadmin, HTTP/1.1, 404, 0.000681
127.0.0.1, 2017-03-30 16:40:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000833
